text,count,type
supreme court,238,Two Word Phrases (Without Stop Words)
united states,230,Two Word Phrases (Without Stop Words)
secret service,123,Two Word Phrases (Without Stop Words)
tik tok,120,Two Word Phrases (Without Stop Words)
law enforcement,115,Two Word Phrases (Without Stop Words)
white house,109,Two Word Phrases (Without Stop Words)
federal government,107,Two Word Phrases (Without Stop Words)
free speech,99,Two Word Phrases (Without Stop Words)
first place,89,Two Word Phrases (Without Stop Words)
men women,89,Two Word Phrases (Without Stop Words)
first amendment,88,Two Word Phrases (Without Stop Words)
san francisco,81,Two Word Phrases (Without Stop Words)
illegal immigrants,72,Two Word Phrases (Without Stop Words)
matt christensen,72,Two Word Phrases (Without Stop Words)
america first,66,Two Word Phrases (Without Stop Words)
make sure,63,Two Word Phrases (Without Stop Words)
elon musk,61,Two Word Phrases (Without Stop Words)
never seen,57,Two Word Phrases (Without Stop Words)
makes sense,56,Two Word Phrases (Without Stop Words)
high school,55,Two Word Phrases (Without Stop Words)
second amendment,54,Two Word Phrases (Without Stop Words)
pretty good,53,Two Word Phrases (Without Stop Words)
ever seen,53,Two Word Phrases (Without Stop Words)
civil war,52,Two Word Phrases (Without Stop Words)
viral videos,52,Two Word Phrases (Without Stop Words)
biden administration,51,Two Word Phrases (Without Stop Words)
thanks tenant,51,Two Word Phrases (Without Stop Words)
great original,50,Two Word Phrases (Without Stop Words)
content news,50,Two Word Phrases (Without Stop Words)
news viral,50,Two Word Phrases (Without Stop Words)
original content,49,Two Word Phrases (Without Stop Words)
videos matt,49,Two Word Phrases (Without Stop Words)
quite frankly,48,Two Word Phrases (Without Stop Words)
nikki haley,48,Two Word Phrases (Without Stop Words)
mean look,46,Two Word Phrases (Without Stop Words)
hunter biden,46,Two Word Phrases (Without Stop Words)
border patrol,45,Two Word Phrases (Without Stop Words)
social presence,45,Two Word Phrases (Without Stop Words)
presence great,45,Two Word Phrases (Without Stop Words)
weeks ago,43,Two Word Phrases (Without Stop Words)
mental health,43,Two Word Phrases (Without Stop Words)
around world,42,Two Word Phrases (Without Stop Words)
across country,42,Two Word Phrases (Without Stop Words)
washington post,41,Two Word Phrases (Without Stop Words)
couple weeks,41,Two Word Phrases (Without Stop Words)
women men,41,Two Word Phrases (Without Stop Words)
world war,40,Two Word Phrases (Without Stop Words)
court decision,40,Two Word Phrases (Without Stop Words)
ladies gentlemen,40,Two Word Phrases (Without Stop Words)
end day,39,Two Word Phrases (Without Stop Words)
never heard,39,Two Word Phrases (Without Stop Words)
birth control,39,Two Word Phrases (Without Stop Words)
daily wire,38,Two Word Phrases (Without Stop Words)
gon na,37,Two Word Phrases (Without Stop Words)
real life,37,Two Word Phrases (Without Stop Words)
police officers,37,Two Word Phrases (Without Stop Words)
national guard,36,Two Word Phrases (Without Stop Words)
either way,36,Two Word Phrases (Without Stop Words)
justice department,35,Two Word Phrases (Without Stop Words)
tenant social,35,Two Word Phrases (Without Stop Words)
federal law,35,Two Word Phrases (Without Stop Words)
fanny willis,35,Two Word Phrases (Without Stop Words)
first america,35,Two Word Phrases (Without Stop Words)
washington dc,34,Two Word Phrases (Without Stop Words)
number two,34,Two Word Phrases (Without Stop Words)
democratic party,34,Two Word Phrases (Without Stop Words)
hate speech,34,Two Word Phrases (Without Stop Words)
many times,34,Two Word Phrases (Without Stop Words)
fake news,34,Two Word Phrases (Without Stop Words)
kla harris,34,Two Word Phrases (Without Stop Words)
friends family,34,Two Word Phrases (Without Stop Words)
sweet baby,34,Two Word Phrases (Without Stop Words)
months ago,33,Two Word Phrases (Without Stop Words)
real world,33,Two Word Phrases (Without Stop Words)
social security,32,Two Word Phrases (Without Stop Words)
content news viral,50,Three Word Phrases (Without Stop Words)
news viral videos,50,Three Word Phrases (Without Stop Words)
great original content,49,Three Word Phrases (Without Stop Words)
original content news,49,Three Word Phrases (Without Stop Words)
viral videos matt,49,Three Word Phrases (Without Stop Words)
videos matt christensen,45,Three Word Phrases (Without Stop Words)
social presence great,45,Three Word Phrases (Without Stop Words)
presence great original,45,Three Word Phrases (Without Stop Words)
tenant social presence,30,Three Word Phrases (Without Stop Words)
sweet baby inc,24,Three Word Phrases (Without Stop Words)
supreme court decision,23,Three Word Phrases (Without Stop Words)
subscription lots excellent,23,Three Word Phrases (Without Stop Words)
lots excellent content,23,Three Word Phrases (Without Stop Words)
excellent content matt,23,Three Word Phrases (Without Stop Words)
content matt christensen,23,Three Word Phrases (Without Stop Words)
united states america,21,Three Word Phrases (Without Stop Words)
enjoyed make sure,21,Three Word Phrases (Without Stop Words)
guys enjoyed make,20,Three Word Phrases (Without Stop Words)
black lives matter,20,Three Word Phrases (Without Stop Words)
world war iii,19,Three Word Phrases (Without Stop Words)
diversity equity inclusion,19,Three Word Phrases (Without Stop Words)
share friends family,18,Three Word Phrases (Without Stop Words)
make sure share,17,Three Word Phrases (Without Stop Words)
couple weeks ago,16,Three Word Phrases (Without Stop Words)
sure share friends,16,Three Word Phrases (Without Stop Words)
taylor hansen tenant,15,Three Word Phrases (Without Stop Words)
tenet social presence,14,Three Word Phrases (Without Stop Words)
world war ii,13,Three Word Phrases (Without Stop Words)
man look woman,13,Three Word Phrases (Without Stop Words)
mexicans gun violence,13,Three Word Phrases (Without Stop Words)
never seen anything,12,Three Word Phrases (Without Stop Words)
woman look man,12,Three Word Phrases (Without Stop Words)
matt christensen good,12,Three Word Phrases (Without Stop Words)
national ms society,12,Three Word Phrases (Without Stop Words)
world economic forum,11,Three Word Phrases (Without Stop Words)
thanks tenant tenet,11,Three Word Phrases (Without Stop Words)
tenant tenet social,11,Three Word Phrases (Without Stop Words)
hundreds thousands dollars,11,Three Word Phrases (Without Stop Words)
black history month,11,Three Word Phrases (Without Stop Words)
apple vision pro,11,Three Word Phrases (Without Stop Words)
supreme court justice,10,Three Word Phrases (Without Stop Words)
supreme court said,10,Three Word Phrases (Without Stop Words)
